Primary key,Date,Intention,Standard Question,Standard answer
917,2 Hours ago,Make mindfulnes,"consectetur adipisicing elit. Unde, autem","eiard
utrreplaesg"
695,10 Days ago,Make someone smile every day,dolorum omnis odit.,"sei,sieqtmerhstt s"
201,,See the goodness around me,Lorem ipsum,"ir . d 
 mbe  a"
670,,Live this moment,Magni inventore ea illum nobis amet,"amtnaimlridpr "
885,10 Days ago,Live this moment,esse praesentium,sauiitini le
820,1 Hour ago,Forgive others and myself,"adipisicing elit. Nam, dolorem hic?",esrimiuhe
614,30 Minutes ago,Be kind,Lorem ipsum dolor sit amet,naeipnfae
126,5 Days ago,Forgive others and myself,Aperiam reiciendis neque eveniet unde,uHleolmifo tliL
695,4 Days ago,Live this moment,veniam atque officiis consequuntur pariatur?," ismiu 
mt elm"
354,13 Days ago,Make someone smile every day,esse praesentium," mfrio H tm"
548,,Live this moment,Aperiam reiciendis neque eveniet unde,baSaeiinitma ienni
846,1 Hour ago,Manifest happiness naturally,"consectetur adipisicing elit. Unde, autem",tn  gruietuta
217,30 Minutes ago,Make mindfulnes,"accusantium excepturi minus, officia et reprehenderit","jspe
ru ibseg a
"
694,2 Minutes ago,Make mindfulnes,"accusantium excepturi minus, officia et reprehenderit",uuemouine
712,10 Days ago,Live this moment,dolor sit amet consectetur,n lleeielde
188,,Lead by example,Magni inventore ea illum nobis amet,dmsbuft
906,2 Minutes ago,Lead by example,esse praesentium,"yttl.L "
930,30 Minutes ago,Be kind,veritatis earum blanditiis maiores fugiat,ninr trt
938,,See the goodness around me,dolorum omnis odit.," e
iussnista"
409,4 Days ago,Live this moment,"accusantium excepturi minus, officia et reprehenderit",iitefae c
114,5 Days ago,Manifest happiness naturally,esse praesentium,cc .cismoaiuitr md
610,10 Days ago,Love unconditionally,dolorum omnis odit.,",d.uiuire"
365,2 Minutes ago,Live this moment,Lorem ipsum dolor sit amet,emqcainv
920,8 Minutes ago,Lead by example,dolor sit amet consectetur,b.r nv p
836,2 Minutes ago,See the goodness around me,veritatis earum blanditiis maiores fugiat,iUeodn jddi
687,13 Days ago,Lead by example,dolorum omnis odit.,"ieerdmsui
aeuds"
939,2 Hours ago,See the goodness around me,"Labore, quae iste"," rma
due"
507,13 Days ago,Be kind,dolorum omnis odit.,ssr.ee i h
362,30 Minutes ago,Love unconditionally,Magni inventore ea illum nobis amet,"ierie, acse"
565,10 Days ago,Manifest happiness naturally,Aperiam reiciendis neque eveniet unde,"c
  emsri ..e"
791,2 Hours ago,Forgive others and myself,dolor sit amet consectetur,"eHLeesetu

d"
635,8 Minutes ago,Make mindfulnes,dolor sit amet consectetur,"iiiagpcstsdav
.l "
169,13 Days ago,Live this moment,Lorem ipsum dolor sit amet,p cieios edtil
442,2 Minutes ago,Lead by example,"Labore, quae iste","domueo ee afoi sd "
881,10 Days ago,Live this moment,Saepe ab illum perferendis.,"  eod usdtetolr"
202,13 Days ago,Be kind,dolor sit amet consectetur," s uet"
754,10 Days ago,Be kind,veniam atque officiis consequuntur pariatur?,"ua pd
rp
upp
"
754,4 Days ago,Live this moment,"Labore, quae iste",ifodne
665,30 Minutes ago,Be kind,veniam atque officiis consequuntur pariatur?," cjoecrneo osu"
734,10 Days ago,Love unconditionally,dolorum omnis odit.,s feio.d
271,2 Hours ago,Forgive others and myself,dolorum omnis odit.,"t
mm d.dcetvhett"
880,,Manifest happiness naturally,"consectetur adipisicing elit. Unde, autem",e.a rrs
577,4 Days ago,Manifest happiness naturally,"consectetur adipisicing elit. Unde, autem",leqnbosu hiau
385,1 Hour ago,Live this moment,esse praesentium,ptlp retmlL
429,30 Minutes ago,See the goodness around me,Saepe ab illum perferendis.,moeumiosaoa
223,,Make mindfulnes,"Labore, quae iste","u tel
s
"
453,5 Days ago,Manifest happiness naturally,veniam atque officiis consequuntur pariatur?,"irp  tiaio  "
525,10 Days ago,Live this moment,Lorem ipsum dolor sit amet,eso.uye
681,5 Days ago,Be kind,"Labore, quae iste",r ieoliyrlsm
914,8 Minutes ago,Love unconditionally,Saepe ab illum perferendis.,"ddiNh,eatugu
"
200,8 Minutes ago,Make someone smile every day,dolorum omnis odit.,ugLmee
635,5 Days ago,Lead by example,"accusantium excepturi minus, officia et reprehenderit",jese d
400,2 Minutes ago,Lead by example,Lorem ipsum dolor sit amet,eanetsclo
777,1 Hour ago,Lead by example,veritatis earum blanditiis maiores fugiat,noutieena
101,5 Days ago,Lead by example,Aperiam reiciendis neque eveniet unde,"
 eenbmi"
345,8 Minutes ago,See the goodness around me,Aperiam reiciendis neque eveniet unde,sliiarsoiay
812,8 Minutes ago,Manifest happiness naturally,Lorem ipsum,"e
 a nuep"
869,4 Days ago,Live this moment,"accusantium excepturi minus, officia et reprehenderit",ue rmlsLealien
590,10 Days ago,See the goodness around me,"adipisicing elit. Nam, dolorem hic?","ertuesi a
ii
"
754,8 Minutes ago,See the goodness around me,Lorem ipsum dolor sit amet,"milpcub

"
194,2 Hours ago,Be kind,dolorum omnis odit.,"untic icet 
.d ee"
465,30 Minutes ago,Make mindfulnes,Lorem ipsum,ur aruelemrt.iu
996,1 Hour ago,Be kind,Lorem ipsum," suojrivn ctLq"
203,10 Days ago,Make mindfulnes,Aperiam reiciendis neque eveniet unde,tr apnmi
320,30 Minutes ago,Be kind,"accusantium excepturi minus, officia et reprehenderit",nemltosie clicif
821,,Love unconditionally,"consectetur adipisicing elit. Unde, autem",rtodarverm ou
128,4 Days ago,Make mindfulnes,veritatis earum blanditiis maiores fugiat,aiuadq
200,4 Days ago,Forgive others and myself,Magni inventore ea illum nobis amet," lm un "
674,2 Hours ago,Forgive others and myself,dolor sit amet consectetur," e.rn d
"
320,8 Minutes ago,Be kind,"adipisicing elit. Nam, dolorem hic?","it
to tidLfneftp"
917,1 Hour ago,Live this moment,veniam atque officiis consequuntur pariatur?," .td
e"
818,8 Minutes ago,See the goodness around me,"Labore, quae iste",etatl uuesmoi
700,8 Minutes ago,Forgive others and myself,"accusantium excepturi minus, officia et reprehenderit",rpiomeuto nt.
450,8 Minutes ago,Love unconditionally,"adipisicing elit. Nam, dolorem hic?",oiffa a alu e
335,1 Hour ago,Forgive others and myself,esse praesentium,t mthsumqae
964,10 Days ago,Lead by example,dolorum omnis odit.,dntddenieei
292,4 Days ago,Make mindfulnes,Lorem ipsum,"Hte.
a .tdlarvds"
408,2 Minutes ago,Love unconditionally,Saepe ab illum perferendis.," i sserse"
652,1 Hour ago,Lead by example,veniam atque officiis consequuntur pariatur?," Llynte tnuvs"
842,8 Minutes ago,Live this moment,"Labore, quae iste",bretaa ne
415,30 Minutes ago,Be kind,dolor sit amet consectetur," 

ttaro "
377,1 Hour ago,Be kind,veritatis earum blanditiis maiores fugiat,"sedttttile
o ci od"
762,4 Days ago,Forgive others and myself,"adipisicing elit. Nam, dolorem hic?"," t onmmseucttr"
810,30 Minutes ago,Make someone smile every day,"consectetur adipisicing elit. Unde, autem",o  diis
391,2 Hours ago,Manifest happiness naturally,Aperiam reiciendis neque eveniet unde,"
iesa lciehaeds"
810,,Be kind,Magni inventore ea illum nobis amet,",saisasi ad ,. "
107,13 Days ago,Love unconditionally,dolorum omnis odit.,"d  md "
779,10 Days ago,Be kind,Lorem ipsum dolor sit amet," 
aans aeaer cete"
356,30 Minutes ago,Lead by example,Saepe ab illum perferendis.,rafoeeeiate
429,5 Days ago,Be kind,"accusantium excepturi minus, officia et reprehenderit",ein nlehx q  oq
268,2 Hours ago,Be kind,"adipisicing elit. Nam, dolorem hic?",uv i l uitcm ee
681,13 Days ago,Lead by example,Lorem ipsum," aaiudrao"
616,4 Days ago,Love unconditionally,Aperiam reiciendis neque eveniet unde,"oa  d
ieftsl
r"
737,10 Days ago,Love unconditionally,"adipisicing elit. Nam, dolorem hic?","tactoiefrsdil "
873,10 Days ago,Make someone smile every day,"adipisicing elit. Nam, dolorem hic?","dleioSi,."
746,8 Minutes ago,Lead by example,"accusantium excepturi minus, officia et reprehenderit",tdmoemdns i
154,8 Minutes ago,Lead by example,"Labore, quae iste",lpmtourdemtnmt
682,8 Minutes ago,See the goodness around me,dolorum omnis odit.,niii cett
825,8 Minutes ago,Love unconditionally,Aperiam reiciendis neque eveniet unde,usamsifdtleichoaoi
260,,Manifest happiness naturally,Aperiam reiciendis neque eveniet unde,"ito
 s eniiannb"
570,4 Days ago,Love unconditionally,Lorem ipsum dolor sit amet,"Layaier "
574,10 Days ago,Manifest happiness naturally,Lorem ipsum dolor sit amet,usscdindmnieoaid
681,,Forgive others and myself,"Labore, quae iste","n i
 
  miuiN"
868,8 Minutes ago,Love unconditionally,"consectetur adipisicing elit. Unde, autem",ncs a i a
476,5 Days ago,Love unconditionally,dolorum omnis odit.,pssuni
686,8 Minutes ago,Manifest happiness naturally,"Labore, quae iste",rreieeneltxl otusr
452,5 Days ago,Live this moment,dolorum omnis odit.,egeiariipun
861,10 Days ago,See the goodness around me,Saepe ab illum perferendis.,inoiuhnimnr s
797,1 Hour ago,Love unconditionally,Aperiam reiciendis neque eveniet unde," ssereeereeotbvn"
249,4 Days ago,See the goodness around me,Aperiam reiciendis neque eveniet unde,"csmmonfravs,s
d"
942,30 Minutes ago,Live this moment,esse praesentium,pieuieesartpa
126,1 Hour ago,Love unconditionally,"adipisicing elit. Nam, dolorem hic?",aoaaerotcapfLi
613,4 Days ago,Make someone smile every day,"Labore, quae iste",me nSi tiaaie cre
900,,Live this moment,veritatis earum blanditiis maiores fugiat,"
ebv
ld"
746,13 Days ago,Make mindfulnes,"Labore, quae iste","inie

 pxv"
303,5 Days ago,Love unconditionally,Saepe ab illum perferendis.,ucelstiied
296,2 Hours ago,Make someone smile every day,"consectetur adipisicing elit. Unde, autem",gett m d eo
193,13 Days ago,Live this moment,veniam atque officiis consequuntur pariatur?," ie
ebil c"
604,30 Minutes ago,Love unconditionally,"accusantium excepturi minus, officia et reprehenderit",iiu mrinsncic
100,30 Minutes ago,Love unconditionally,veritatis earum blanditiis maiores fugiat,niici guq iittn
804,13 Days ago,Live this moment,Magni inventore ea illum nobis amet,"
ensla e
sei "
788,2 Minutes ago,Love unconditionally,Aperiam reiciendis neque eveniet unde,ssrt peine
428,4 Days ago,Love unconditionally,"consectetur adipisicing elit. Unde, autem"," eshNe ousno"
311,4 Days ago,Forgive others and myself,"accusantium excepturi minus, officia et reprehenderit",sseoidiioi es
130,1 Hour ago,Lead by example,"adipisicing elit. Nam, dolorem hic?","d vef
 "
902,8 Minutes ago,Be kind,"adipisicing elit. Nam, dolorem hic?",nnputiiof  iep
538,8 Minutes ago,Make someone smile every day,Saepe ab illum perferendis.,usLsdpts ei
479,8 Minutes ago,Make someone smile every day,Saepe ab illum perferendis.,.rldet
317,1 Hour ago,Make mindfulnes,Lorem ipsum," canneolrt,acr il"
178,4 Days ago,Make someone smile every day,Aperiam reiciendis neque eveniet unde,"miavlaigdavtn "
575,4 Days ago,Be kind,veritatis earum blanditiis maiores fugiat,"ssieucdlth
gnit"
525,10 Days ago,Love unconditionally,Saepe ab illum perferendis.,"beuei
 e ecicss
ii"
684,5 Days ago,Love unconditionally,veritatis earum blanditiis maiores fugiat,"teeteooheesoa  b
b"
811,2 Hours ago,Lead by example,Magni inventore ea illum nobis amet,issiim raevet
279,1 Hour ago,Make mindfulnes,"Labore, quae iste","eiltep
srledno c"
617,10 Days ago,Forgive others and myself,"adipisicing elit. Nam, dolorem hic?","e  nid
"
855,,Manifest happiness naturally,"adipisicing elit. Nam, dolorem hic?",ldni u
454,10 Days ago,Lead by example,veritatis earum blanditiis maiores fugiat,rvoe oinfSi
740,13 Days ago,See the goodness around me,"consectetur adipisicing elit. Unde, autem",doeeoibc
878,1 Hour ago,Forgive others and myself,"accusantium excepturi minus, officia et reprehenderit"," oeeiye,r
le
igil"
814,30 Minutes ago,Love unconditionally,dolor sit amet consectetur," dmsene"
414,8 Minutes ago,Be kind,dolor sit amet consectetur,"ret
iniusren"
614,4 Days ago,Live this moment,Lorem ipsum dolor sit amet,"r
idoghunendleoa"
656,1 Hour ago,Lead by example,esse praesentium,es hd.i
482,,See the goodness around me,Lorem ipsum," . iet uiumcttmo"
473,,Lead by example,"accusantium excepturi minus, officia et reprehenderit"," ivmtcddieios"
676,2 Hours ago,See the goodness around me,Saepe ab illum perferendis.,"p tichoa
tufi"
588,4 Days ago,Make someone smile every day,dolorum omnis odit.," nd
   guvun"
419,5 Days ago,Lead by example,Magni inventore ea illum nobis amet,"pfcdqu f,ns"
238,5 Days ago,Make someone smile every day,Saepe ab illum perferendis.,"oxesatmluiuemdce "
791,2 Minutes ago,Manifest happiness naturally,veniam atque officiis consequuntur pariatur?,Ng siie
565,2 Hours ago,Make mindfulnes,veritatis earum blanditiis maiores fugiat,"  ers "
108,1 Hour ago,Make mindfulnes,"accusantium excepturi minus, officia et reprehenderit","n,rirriHytoerfe
o"
632,2 Minutes ago,Manifest happiness naturally,Saepe ab illum perferendis.,"asbieltr "
701,2 Hours ago,Love unconditionally,veritatis earum blanditiis maiores fugiat,eo.ialii
700,10 Days ago,Love unconditionally,Lorem ipsum dolor sit amet,s remei.  enebssl
793,1 Hour ago,Lead by example,esse praesentium,reL ey nura muHvse
664,30 Minutes ago,Make mindfulnes,dolor sit amet consectetur,asevrtilaai
373,2 Hours ago,Love unconditionally,Lorem ipsum,"nnbatsneot "
940,10 Days ago,Live this moment,Lorem ipsum,iaaden
742,10 Days ago,Love unconditionally,"adipisicing elit. Nam, dolorem hic?",aiiuiioei is
519,30 Minutes ago,Make mindfulnes,Lorem ipsum dolor sit amet,oti regmreemgu
423,5 Days ago,Make mindfulnes,veniam atque officiis consequuntur pariatur?,ieltem
203,10 Days ago,See the goodness around me,"adipisicing elit. Nam, dolorem hic?",otait saeicdeU
909,8 Minutes ago,Be kind,veniam atque officiis consequuntur pariatur?,tnecoisa
679,10 Days ago,Live this moment,esse praesentium,"v
a
 rt  "
713,10 Days ago,Be kind,"consectetur adipisicing elit. Unde, autem","eg
cnbimenfoe"
611,10 Days ago,Love unconditionally,veniam atque officiis consequuntur pariatur?,"sqe
u tnim
ams "
401,1 Hour ago,Forgive others and myself,"accusantium excepturi minus, officia et reprehenderit",emn tec
833,1 Hour ago,Live this moment,veritatis earum blanditiis maiores fugiat,"is a,bnedoii"
298,30 Minutes ago,Live this moment,Aperiam reiciendis neque eveniet unde,"t
irilnl"
264,13 Days ago,Lead by example,veritatis earum blanditiis maiores fugiat,"eeeelunfdf
c"
589,5 Days ago,Forgive others and myself,Saepe ab illum perferendis.,isatpcomiqHltortep
263,,See the goodness around me,"consectetur adipisicing elit. Unde, autem",sccdse eac.u
962,30 Minutes ago,Make mindfulnes,"adipisicing elit. Nam, dolorem hic?",e udien
238,2 Hours ago,Love unconditionally,Saepe ab illum perferendis.,uieNs n
591,10 Days ago,Lead by example,"Labore, quae iste","old efpei
   "
407,30 Minutes ago,Be kind,Magni inventore ea illum nobis amet,eafrtao
300,4 Days ago,Love unconditionally,veritatis earum blanditiis maiores fugiat,ucats.eii
176,,Lead by example,Lorem ipsum dolor sit amet,o s ner.eifmnbeee
407,,Forgive others and myself,"Labore, quae iste",vuditsdeotrtd
621,1 Hour ago,Be kind,"adipisicing elit. Nam, dolorem hic?",icgmcnm ci
430,2 Minutes ago,Love unconditionally,Lorem ipsum,i upcsi
735,4 Days ago,Live this moment,"consectetur adipisicing elit. Unde, autem",ate  li
918,8 Minutes ago,Make mindfulnes,Magni inventore ea illum nobis amet,luluaictoiLrecn
621,13 Days ago,Love unconditionally,"adipisicing elit. Nam, dolorem hic?",ic itsipr ateph
725,30 Minutes ago,Love unconditionally,"accusantium excepturi minus, officia et reprehenderit",cdtsl c  ihsd road
178,,Live this moment,Lorem ipsum,"ueetimrnLet 
tsi"
275,8 Minutes ago,See the goodness around me,dolorum omnis odit.,oiioebdhnoipuom
484,30 Minutes ago,Make mindfulnes,Lorem ipsum," hoa
t otqe,"
991,8 Minutes ago,See the goodness around me,veniam atque officiis consequuntur pariatur?,"tiili "
828,1 Hour ago,Love unconditionally,veniam atque officiis consequuntur pariatur?,"ia aN "
414,2 Minutes ago,Make someone smile every day,Magni inventore ea illum nobis amet,sssmolaird
483,,Manifest happiness naturally,"adipisicing elit. Nam, dolorem hic?","eaeespor,reLn"
604,30 Minutes ago,Forgive others and myself,Lorem ipsum,a aotaaeoi
874,10 Days ago,Forgive others and myself,Aperiam reiciendis neque eveniet unde,"
dlervdit unas"
216,,Love unconditionally,veritatis earum blanditiis maiores fugiat,faa bii
799,,Forgive others and myself,veniam atque officiis consequuntur pariatur?,.i .u fsltevnm
764,13 Days ago,Lead by example,Saepe ab illum perferendis.," 
ubboeniacii"
610,,Make someone smile every day,esse praesentium," rte.Ue t noin
ah "
428,8 Minutes ago,Be kind,Magni inventore ea illum nobis amet,"m uq len,nttto"
957,1 Hour ago,Make someone smile every day,"Labore, quae iste","ieia  
neb.iu,leca"
982,8 Minutes ago,Be kind,Saepe ab illum perferendis.," egrna iiii"
325,10 Days ago,See the goodness around me,"accusantium excepturi minus, officia et reprehenderit",Ncmmrs umaidp
252,4 Days ago,Manifest happiness naturally,veniam atque officiis consequuntur pariatur?,"utndmliuru
io,"
663,2 Minutes ago,Manifest happiness naturally,"consectetur adipisicing elit. Unde, autem","ol
dnuabcemee ev"
477,10 Days ago,Make mindfulnes,Lorem ipsum,"tternnmas
ermel m"
363,8 Minutes ago,Lead by example,Aperiam reiciendis neque eveniet unde,"e oiihrccsmotdc "
883,1 Hour ago,See the goodness around me,esse praesentium,etl  ebmcsuro sptt
964,2 Minutes ago,Lead by example,Saepe ab illum perferendis.,"oqpus nia ei u,"
218,8 Minutes ago,Live this moment,Lorem ipsum dolor sit amet,"ear  a,ediedi
aem"
155,13 Days ago,Make mindfulnes,Lorem ipsum dolor sit amet,"en L..eaiio
"
801,5 Days ago,Manifest happiness naturally,veritatis earum blanditiis maiores fugiat,inpmvog
146,10 Days ago,Live this moment,"consectetur adipisicing elit. Unde, autem",nctoiesd
504,,Be kind,"accusantium excepturi minus, officia et reprehenderit",e ospmuplaeodi
776,30 Minutes ago,Be kind,veniam atque officiis consequuntur pariatur?,onseclLla
362,13 Days ago,Lead by example,"consectetur adipisicing elit. Unde, autem","
iieieiaee"
553,10 Days ago,Love unconditionally,Magni inventore ea illum nobis amet," m tinbp i mnn"
675,10 Days ago,Make mindfulnes,Lorem ipsum,oreoiootbbe riic
955,,Lead by example,esse praesentium,u elit onib
987,2 Hours ago,Make mindfulnes,dolorum omnis odit.,roeormiN.xmeet
885,,See the goodness around me,Lorem ipsum dolor sit amet,"ntyii esimei
sd"
394,2 Hours ago,Manifest happiness naturally,"adipisicing elit. Nam, dolorem hic?",icimrteaai
927,8 Minutes ago,Live this moment,Saepe ab illum perferendis.,mSuites dgges.aiar
103,30 Minutes ago,Live this moment,"consectetur adipisicing elit. Unde, autem","a eareal.n
,imhee"
748,10 Days ago,Love unconditionally,Magni inventore ea illum nobis amet,"t.adrbbsenu
tnyle"
427,30 Minutes ago,Be kind,Saepe ab illum perferendis.,eaueiunmrre p
747,2 Hours ago,Live this moment,Saepe ab illum perferendis.,rn mcecs u.
443,1 Hour ago,Be kind,dolorum omnis odit.,eisein
599,8 Minutes ago,Lead by example,"adipisicing elit. Nam, dolorem hic?",eneodplies
919,13 Days ago,Love unconditionally,veritatis earum blanditiis maiores fugiat,"SeetttdLr,imnnh"
223,2 Minutes ago,Live this moment,veniam atque officiis consequuntur pariatur?,"som ol,er ut"
103,13 Days ago,Be kind,"consectetur adipisicing elit. Unde, autem","allpoeiur
mersmuie"
780,2 Minutes ago,Lead by example,veritatis earum blanditiis maiores fugiat,maeotuone
259,30 Minutes ago,See the goodness around me,"consectetur adipisicing elit. Unde, autem","ruemi
id prjaui"
204,10 Days ago,See the goodness around me,dolor sit amet consectetur,"i 
ieab"
586,13 Days ago,Love unconditionally,Aperiam reiciendis neque eveniet unde,imuaibntia
897,2 Hours ago,Forgive others and myself,esse praesentium,"  oiele"
215,10 Days ago,See the goodness around me,esse praesentium,"mmt sotmfiim "
188,2 Minutes ago,Manifest happiness naturally,esse praesentium," i m rmi
 .sm mtne"
246,13 Days ago,Forgive others and myself,"consectetur adipisicing elit. Unde, autem",nca red ucoss
675,8 Minutes ago,Make mindfulnes,Saepe ab illum perferendis.," ulie p ia"
353,2 Minutes ago,Be kind,"adipisicing elit. Nam, dolorem hic?",ueeeoiefen.
919,4 Days ago,Forgive others and myself,Lorem ipsum,rieaif eumio
864,,Be kind,veniam atque officiis consequuntur pariatur?,tsmiiudmt
443,8 Minutes ago,Forgive others and myself,Lorem ipsum dolor sit amet,lteo fo
473,5 Days ago,See the goodness around me,Saepe ab illum perferendis.,"tueoduco,"
242,8 Minutes ago,Forgive others and myself,"accusantium excepturi minus, officia et reprehenderit","ifan ens
fumteoLc"
945,30 Minutes ago,See the goodness around me,Aperiam reiciendis neque eveniet unde,oamarterm omuoim e
489,10 Days ago,Love unconditionally,"Labore, quae iste","bieuuuptocns 
iu"
902,10 Days ago,Be kind,dolorum omnis odit.,". m ncitiusa  "
918,,Manifest happiness naturally,veniam atque officiis consequuntur pariatur?,ldic brmulnus
690,8 Minutes ago,Manifest happiness naturally,esse praesentium,iruerpddcctcttmni
297,13 Days ago,Make mindfulnes,"consectetur adipisicing elit. Unde, autem",mistLsatictahr
751,,Be kind,Lorem ipsum dolor sit amet," direbe
mbeiad i"
125,2 Minutes ago,Make mindfulnes,"Labore, quae iste","ensn
tcmeeeurrf"
738,5 Days ago,Live this moment,Lorem ipsum dolor sit amet,nmerll
613,2 Hours ago,Make someone smile every day,Aperiam reiciendis neque eveniet unde,"  yio  me ommm ic"
570,4 Days ago,Love unconditionally,"adipisicing elit. Nam, dolorem hic?",lfdegi fqeoa e
445,4 Days ago,Make someone smile every day,esse praesentium,serit nlpmem
446,1 Hour ago,Make mindfulnes,Lorem ipsum dolor sit amet,isi ei
357,2 Hours ago,Be kind,veritatis earum blanditiis maiores fugiat,"dclilneons ttop,"
939,2 Minutes ago,Be kind,dolorum omnis odit.,eeNeid rdmnesboe
707,,Make someone smile every day,dolorum omnis odit.,eoil tpsrceno
176,2 Minutes ago,Be kind,Aperiam reiciendis neque eveniet unde,"
 xft moih. m"
964,1 Hour ago,Love unconditionally,Lorem ipsum,oatiiil
628,2 Hours ago,Be kind,esse praesentium,"aoa a
mcl"
875,2 Minutes ago,See the goodness around me,dolorum omnis odit.,i .oriioLn n
688,10 Days ago,Love unconditionally,"consectetur adipisicing elit. Unde, autem"," sudninnmpiar "
430,4 Days ago,Forgive others and myself,Saepe ab illum perferendis.,io ltes
674,2 Minutes ago,Forgive others and myself,esse praesentium,L m cgeset celt i
192,13 Days ago,Make mindfulnes,dolorum omnis odit.,"Lstirts,arras"
118,8 Minutes ago,Make mindfulnes,"adipisicing elit. Nam, dolorem hic?",ed cmcms
843,,See the goodness around me,veniam atque officiis consequuntur pariatur?,"df
pr et dh mipns"
831,5 Days ago,Make someone smile every day,"Labore, quae iste","tig m
r "
517,8 Minutes ago,Make mindfulnes,"consectetur adipisicing elit. Unde, autem","
miomio,uu
"
981,,See the goodness around me,Saepe ab illum perferendis.,"
ecaanermdc"
672,1 Hour ago,Live this moment,Magni inventore ea illum nobis amet," uiild iiueengedie"
678,10 Days ago,Make someone smile every day,dolor sit amet consectetur,"asieim
doetealoip"
612,1 Hour ago,Manifest happiness naturally,veritatis earum blanditiis maiores fugiat,"si
oiaateia"
498,10 Days ago,Live this moment,"consectetur adipisicing elit. Unde, autem","s
uaie"
228,10 Days ago,Lead by example,"adipisicing elit. Nam, dolorem hic?","siieu.eimsaa 
im"
738,,See the goodness around me,"adipisicing elit. Nam, dolorem hic?","lto
ms laroorth"
284,5 Days ago,Make someone smile every day,veritatis earum blanditiis maiores fugiat,iinn isi
160,2 Hours ago,Manifest happiness naturally,Lorem ipsum,"tsa t
dsl "
873,13 Days ago,See the goodness around me,veniam atque officiis consequuntur pariatur?,eeexi ld
720,30 Minutes ago,Live this moment,dolor sit amet consectetur,"ibu
cpotfi ntpe"
588,4 Days ago,Live this moment,veritatis earum blanditiis maiores fugiat,"fsempmie
"
256,30 Minutes ago,Love unconditionally,Lorem ipsum dolor sit amet,maaiLsoogmaa.
553,4 Days ago,Make mindfulnes,"Labore, quae iste",i igbn tiii.
325,1 Hour ago,Make someone smile every day,veniam atque officiis consequuntur pariatur?,neue ies tlgo
398,2 Minutes ago,Manifest happiness naturally,Lorem ipsum,"e
lfmen ridettlbns"
976,30 Minutes ago,Live this moment,Lorem ipsum,eocnnot
992,,Love unconditionally,dolor sit amet consectetur,"i
im.ettamumt"
783,4 Days ago,Love unconditionally,Lorem ipsum,"tdie
tad"
319,8 Minutes ago,Manifest happiness naturally,"adipisicing elit. Nam, dolorem hic?","pehe seiinuco  "
670,2 Minutes ago,Forgive others and myself,Lorem ipsum,"aapr
edp"
128,30 Minutes ago,Live this moment,Aperiam reiciendis neque eveniet unde,"mat. laadqi
"
872,4 Days ago,Lead by example,"Labore, quae iste",eooieneppun
521,5 Days ago,Forgive others and myself,dolorum omnis odit.,ttiffr ldoo
251,10 Days ago,Lead by example,Magni inventore ea illum nobis amet,"er tiee,"
649,2 Minutes ago,See the goodness around me,"Labore, quae iste",hnuotseptmt
947,,Love unconditionally,dolor sit amet consectetur,"jiremtfet np
irda"
952,1 Hour ago,Lead by example,Lorem ipsum dolor sit amet,li .isei
162,2 Hours ago,See the goodness around me,Aperiam reiciendis neque eveniet unde,fehnisaeecee i o
826,8 Minutes ago,Forgive others and myself,Saepe ab illum perferendis.,"oi,gilunenn
eoem "
145,13 Days ago,Make someone smile every day,dolorum omnis odit.,enduemeicidiomi
640,2 Minutes ago,Forgive others and myself,"accusantium excepturi minus, officia et reprehenderit","uaogs "
208,13 Days ago,Forgive others and myself,"Labore, quae iste","
icrtmgntvneqva "
999,4 Days ago,Live this moment,"Labore, quae iste",i .tmer
717,2 Hours ago,Lead by example,"accusantium excepturi minus, officia et reprehenderit",antSifmumrn
385,4 Days ago,Make mindfulnes,dolorum omnis odit.,ttmi mitsfato
647,13 Days ago,Be kind,Saepe ab illum perferendis.,iiteje .omimscese
564,30 Minutes ago,Live this moment,"consectetur adipisicing elit. Unde, autem","ru eescal
ehee"
522,2 Hours ago,Lead by example,Magni inventore ea illum nobis amet,"art,l
uuleeertts."
167,30 Minutes ago,Lead by example,Saepe ab illum perferendis.,"aas tL "
955,10 Days ago,Make someone smile every day,Lorem ipsum,udta ppi
356,13 Days ago,Manifest happiness naturally,"adipisicing elit. Nam, dolorem hic?",amsaoenlaout
852,1 Hour ago,Live this moment,dolor sit amet consectetur,meuvdu
286,,Manifest happiness naturally,"Labore, quae iste",adduieimaer
361,10 Days ago,Forgive others and myself,"accusantium excepturi minus, officia et reprehenderit",traddt..o
426,13 Days ago,Live this moment,Lorem ipsum dolor sit amet,riiadmaobiseeti
178,13 Days ago,See the goodness around me,Lorem ipsum,tiseeimrrin ut
790,5 Days ago,Lead by example,Lorem ipsum,"o
es
ns emhpee"
133,5 Days ago,See the goodness around me,dolor sit amet consectetur,"reu 
 lsi"
786,,Make mindfulnes,dolorum omnis odit.," eptsni"
618,4 Days ago,Make mindfulnes,"accusantium excepturi minus, officia et reprehenderit"," irria"
931,8 Minutes ago,Lead by example,Magni inventore ea illum nobis amet,"oscrehaci "
126,4 Days ago,Be kind,Aperiam reiciendis neque eveniet unde,meelrimgn
221,2 Hours ago,Be kind,veniam atque officiis consequuntur pariatur?,"m
ucrupsUsbd"
948,5 Days ago,Love unconditionally,dolor sit amet consectetur,"itaLou "
693,4 Days ago,Manifest happiness naturally,esse praesentium,d ssidvtdmedm
414,,Manifest happiness naturally,Lorem ipsum,ihLn.aiHei
